Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
12/01/2020 15:18;Homme;1767473236111210;2018;Initiale;GBA;Activite;Privé;CDI;En France;Occitanie;;4;CGI;5 000 salarié(e)s ou plus;Réseaux, intranet, internet, télécommunications ;Ingénieur Business Intelligence;Activités informatiques et services d'information (TIC services);33000;OUI;NON;NON;OUI;4;5;3;4;5
12/01/2020 16:12;Homme;1899265661267020;2018;Initiale;MI;Activite;Privé;CDI;En France;Bretagne;;14;Biomérieux (pour le compte d'Alten SA);5 000 salarié(e)s ou plus;SAV niveau 3;Ingénieur Système Tests et Support;Industrie pharmaceutique;29978;NON;NON;NON;OUI;4;5;3;5;2
10/01/2020 17:13;Femme;1889055166626110;2018;Initiale;MAT;Activite;Privé;CDI;En France;Grand Est;;17;Eurofins Analyse pour le Bâtiment France;5 000 salarié(e)s ou plus;Production - Exploitation ;Ingénieur projets;Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...);36000;NON;OUI;NON;OUI;4;5;4;5;3
13/01/2020 18:43;Homme;1789312776014120;2018;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
26/01/2020 17:27;Homme;1776621631160250;2018;Initiale;MAT;Activite;Privé;CDI;En France;Occitanie;;12;Altran;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Junior consultant & Engineer;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;34500;NON;NON;OUI;OUI;4;4;4;4;2
10/01/2020 16:41;Homme;1782336125656380;2018;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 17:33;Homme;1789312776036290;2018;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;23;Veolia;5 000 salarié(e)s ou plus;Consommateur;Responsable amélioration des processus;…nergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);36000;NON;NON;NON;OUI;5;5;4;5;5
10/01/2020 23:02;Homme;1794385880310960;2018;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;16;Abylsen;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Ingénieur d'affaires;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;35000;OUI;OUI;OUI;OUI;4;4;5;5;4
10/01/2020 17:24;Femme;1776695966718780;2018;Initiale;GBA;Sans activité ;;;;;;;;;;;;;;;;;;;;;
10/01/2020 16:44;Homme;1767641628339300;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;17;NEXT DECISION;De 50 à 249 salarié(e)s ;Etudes et développement en systèmes d'information ;Consultant décisionnel;Activités informatiques et services d'information (TIC services);32000;NON;NON;NON;OUI;4;5;3;4;5
