Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
18/03/2020 21:15;Femme;1768466560960410    ;2018;Initiale;GBA;Activite;Prive;CDI;Etranger;;Republique tcheque;15;La Lorraine, a.s.;250_4999;Qualite, securite, sûrete de fonctionnement ;Specialiste qualite;Industrie agroalimentaire ;16800;OUI;NON;NON;OUI;4;5;3;5;4
19/03/2020 09:34;Homme;1782335932003810    ;2018;Apprentissage;MSI;Activite;Prive;CDI;France;Occitanie;;15;CIMAT Laudun;250_4999;Assistance technique;Assistant chef de projets;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;36000;NON;OUI;NON;NON;4;2;3;4;3
21/03/2020 10:15;Homme;1798528980861790    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Pays de la Loire;;19;Fleury Michon;250_4999;Innovation, Propriete industrielle, brevets, transfert de technologie;Technicien process conditionnement;Industrie agroalimentaire ;32000;NON;NON;NON;OUI;3;3;1;5;2
23/03/2020 06:31;Homme;1788970928119790    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Hauts-de-France;;14;Ajinomoto ;50_249;Methodes, controle de production, maintenance;Ingenieur Methodes ;Autres secteurs ;41500;NON;NON;NON;OUI;3;4;4;5;2
30/03/2020 10:39;Homme;1767833324689620    ;2018;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;20;Capgemini Financial Services;5000_;Etudes et developpement en systemes d'information ;Lead Software Engineer;Activites financieres et d'assurance;36000;OUI;OUI;OUI;OUI;5;5;4;5;5
03/04/2020 12:43;Homme;1788410839588190    ;2017;Initiale;MI;Activite;Prive;CDI;France;ile-de-France;;12;Consobaby;_10;Reseaux, intranet, internet, telecommunications ;Chef de produit digital;Activites informatiques et services d'information (TIC services);60000;NON;OUI;OUI;OUI;4;5;5;5;5
03/04/2020 13:04;Homme;1794680960843710    ;2019;Initiale;MI;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;6;CT Ingenierie ;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'etude aux incidents majeurs;Industrie automobile, aeronautique, navale, ferroviaire;36000;NON;NON;NON;OUI;4;5;4;3;4
03/04/2020 15:48;Homme;1768549874921600    ;2018;Professionalisation;IG;Activite;Prive;CDI;France;Occitanie;;20;Zendesk;250_4999;Etudes et developpement en systemes d'information ;Software Engineer;Activites informatiques et services d'information (TIC services);60000;NON;NON;NON;NON;5;5;5;5;5
03/04/2020 16:01;Homme;1767833412260590    ;2017;Initiale;MI;Activite;Prive;CDI;Etranger;;Suisse;38;PATEK PHILLIPE SA LA CHAUX DE FONDS;250_4999;Methodes, controle de production, maintenance;INGENIEUR CHARGE D'INDUSTRIALISATION;Autres industries (bois, imprimerie, fabrication, reparation et installation de machines et d'equipements, ...);88500;NON;OUI;OUI;OUI;3;3;5;5;3
05/04/2020 14:11;Homme;1788410950743910    ;2018;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;16;Liebherr Aerospace ;250_4999;Informatique industrielle et technique ;Concepteur logiciel embarque ;Industrie automobile, aeronautique, navale, ferroviaire;45000;NON;OUI;OUI;OUI;4;4;3;4;3
05/04/2020 14:32;Femme;1783101041459560    ;2018;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;17;Liebherr Aerospace;250_4999;Informatique industrielle et technique ;Developpeur logiciel ;Industrie automobile, aeronautique, navale, ferroviaire;45000;NON;NON;OUI;OUI;4;5;3;4;4
05/04/2020 21:56;Homme;1776102217021450    ;2019;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;7;TRF Retail;10_19;Informatique industrielle et technique ;Data Scientist;Activites informatiques et services d'information (TIC services);35000;;NON;NON;NON;5;5;4;4;2
05/04/2020 21:58;Homme;1793834692794590    ;2019;Initiale;MEA;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
06/04/2020 00:23;Homme;1768382109384420    ;2018;Initiale;MEA;Sans activite ;;;;;;;;;;;;;;;;;;;;;
06/04/2020 12:58;Homme;1810270661048860    ;2017;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;31;GCATRANS;5000_;Etudes et developpement en systemes d'information ;Analyste - Developpeur;Transports (Services);34000;NON;NON;NON;NON;5;5;4;4;5
07/04/2020 14:11;Homme;1775263816396710    ;2018;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;18;NOKIA;5000_;Reseaux, intranet, internet, telecommunications ;;Telecommunications;;NON;NON;NON;NON;4;5;3;4;1
13/04/2020 11:10;Homme;1810646142455800    ;2019;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;7;Capgemini TS - Perols;250_4999;Etudes et developpement en systemes d'information ;Ingenieur Logiciel;Activites financieres et d'assurance;32006;OUI;NON;NON;NON;4;3;3;3;4
13/04/2020 16:12;Homme;1889138750641930    ;2019;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;8;Centum Adeneo;250_4999;Etudes et developpement en systemes d'information ;Ingenieur d'etudes;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;35500;NON;NON;NON;NON;4;5;4;2;4
