Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
08/03/2018 20:12;1794334594344790;Homme;2015;;MEA;Activite;Prive;CDI;En France;Île-de-France;;16;Dassault systèmes;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Activités informatiques et services d'information (TIC services);35000;OUI;NON;NON;OUI;5;5;3;5;5
15/03/2018 22:22;1783429267754430;Homme;2015;Initiale;STE;Recherche;;;;;;;;;;;;;;;;;;;;;
08/03/2018 17:35;1767188038511560;Homme;2015;Apprentissage;SE;Activite;Non salarié(e) (Chef d'entreprise, Profession libérale, Travailleur(e) indépendant(e));;En France;Occitanie;;30;WebLogin; Moins de 10 salarié(e)s ;Etudes et développement en systèmes d'information ;Gerant;Activités informatiques et services d'information (TIC services);20000;OUI;OUI;OUI;OUI;5;5;3;5;5
15/03/2018 09:11;1889425571740490;Homme;2015;Initiale;ENR;Activite;Prive;CDI;En France;Occitanie;;36;Valeco O&M;De 50 à 249 salarié(e)s ;Production - Exploitation ;Chargé d'affaires;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);40000;OUI;NON;NON;OUI;4;5;3;5;5
10/03/2018 10:09;1783101102361120;Femme;2015;Initiale;MAT;Activite;Prive;CDI;A l'étranger;;Royaume-Uni;24;;De 20 à 49 salarié(e)s ;Support technique et commercial;Sales suppport engineer;Autres secteurs ;;NON;NON;NON;OUI;4;;;;
14/03/2018 19:18;1776167208283570;Femme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Occitanie;;15;ALTEN SUD OUEST;5 000 salarié(e)s ou plus;Production - Exploitation ;;Industrie automobile, aéronautique, navale, ferroviaire;30000;NON;OUI;NON;OUI;1;5;3;5;5
14/03/2018 16:19;1783551727370030;Homme;2015;Initiale;MI;Activite;Prive;CDI;En France;Île-de-France;;1;Percall;De 50 à 249 salarié(e)s ;Exploitation / maintenance informatique ;Ingénieur d'étude;Sociétés de conseil, bureaux d'études;36000;NON;NON;NON;NON;4;5;3;3;4
14/03/2018 18:28;1775263816305300;Femme;2015;Initiale;ENR;Activite;Prive;CDI;En France;Provence-Alpes-Côte d'Azur;;30;CEGELEC Industrie Sud Est;De 50 à 249 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Assistante Responsable d'Affaires;Industrie chimique;;OUI;OUI;OUI;OUI;4;4;3;4;5
14/03/2018 14:48;1788692238991680;Homme;2015;Professionalisation;IG;Activite;Prive;CDI;En France;Occitanie;;60;La Valériane;De 10 à 19 salarié(e)s ;Etudes et développement en systèmes d'information ;Directeur informatique adjoint;Recherche-développement scientifique;45600;OUI;OUI;OUI;OUI;4;5;5;4;4
13/03/2018 10:04;1789078904504380;Homme;2015;Initiale;ENR;Activite;Public;CDI;A l'étranger;;Mali;25;Commission de Régulation de l'Electricité et de l'Eau;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur Electricien;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);30552;NON;NON;NON;OUI;3;2;5;4;4
08/03/2018 20:27;1776621701199620;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Hauts-de-France;;15;Bostik;5 000 salarié(e)s ou plus;Assistance technique;Ingénieur support technique, Hotmelts Polyamides;Industrie chimique;42000;NON;NON;NON;OUI;1;5;4;4;3
09/03/2018 09:28;1794775550924850;Homme;2015;Apprentissage;MSI;Activite;Prive;CDI;En France;Normandie;;13;SOCOTEC;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Chargé d'affaires;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;30000;OUI;NON;OUI;OUI;4;4;4;4;4
06/04/2018 19:21;1789471954669600;Homme;2015;Initiale;MAT;Activite;Prive;CDI;A l'étranger;;Royaume-Uni;13;Alten Limited;250 à  4 999 salarié(e)s ;Gestion de Projet;Ingenieur Projet;Sociétés de conseil, bureaux d'études;37000;NON;NON;NON;OUI;5;4;3;5;5
10/03/2018 16:04;1794043017455940;Homme;2015;Initiale;IG;Activite;Prive;CDI;En France;Île-de-France;;16;MonDocteur;De 50 à 249 salarié(e)s ;Production - Exploitation ;Responsable interopérabilité et migration de données;Activités informatiques et services d'information (TIC services);43000;OUI;NON;OUI;OUI;5;5;3;5;4
09/04/2018 10:26;1976621288630210;Homme;2015;Initiale;IG;Activite;Prive;CDI;En France;Occitanie;;13;TabMo;De 20 à 49 salarié(e)s ;Etudes et développement en systèmes d'information ;Développeur Front-End;Activités informatiques et services d'information (TIC services);36000;OUI;NON;NON;NON;5;5;4;4;5
