Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
21/01/2020 11:02;Homme;1,7831E+15;2018;Initiale;MI;Activite;Privé;CDD;En France;Auvergne-Rhône-Alpes;;4;THALES AVS;5 000 salarié(e)s ou plus;Service Offres et Projets;Hardware Engineering Manager Junior;Industrie automobile, aéronautique, navale, ferroviaire;40000;OUI;OUI;OUI;OUI;5;5;5;5;3
21/01/2020 14:30;Homme;1,79849E+15;2017;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;36;CGI France (Montpellier);5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Expert Technique Junior ;Activités informatiques et services d'information (TIC services);36000;NON;NON;NON;OUI;4;5;3;5;4
21/01/2020 14:02;Homme;1,77549E+15;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;16;toHero;De 10 à 19 salarié(e)s ;Etudes et développement en systèmes d'information ;Ingénieur étude et développement;Activités informatiques et services d'information (TIC services);32500;NON;NON;NON;OUI;2;4;2;2;4
21/01/2020 12:19;Homme;1,8892E+15;2018;Initiale;IG;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;17;Cellance;De 10 à 19 salarié(e)s ;Etudes et développement en systèmes d'information ;Développeur;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;;OUI;NON;OUI;NON;4;5;2;5;4
21/01/2020 12:08;Homme;1,86764E+15;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;14;PriceComparator; Moins de 10 salarié(e)s ;Informatique industrielle et technique ;Développeur Front End;Activités informatiques et services d'information (TIC services);32500;NON;NON;NON;OUI;5;5;4;5;3
21/01/2020 12:26;Homme;1,88243E+15;2017;Initiale;MI;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;30;Abylsen;De 50 à 249 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Manager;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;50000;OUI;OUI;OUI;NON;5;5;5;5;5
21/01/2020 13:45;Homme;1,78908E+15;2018;Initiale;IG;En création d'entreprise /reprise d'entreprise;;;En France;Occitanie;;9;Futurum Vitae; Moins de 10 salarié(e)s ;Production - Exploitation ;Président / Co-fondateur;Activités informatiques et services d'information (TIC services);;NON;NON;NON;OUI;5;5;1;5;5
21/01/2020 12:53;Homme;1,88958E+15;2018;Initiale;IG;Activite;Privé;CDI;En France;Île-de-France;;18;Solvay Energy Services;5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Ingénieur informatique;Activités financières et d'assurance;44000;NON;NON;NON;OUI;4;5;2;5;5
21/01/2020 14:56;Femme;1,77596E+15;2019;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;5;KPMG;5 000 salarié(e)s ou plus;Audit ;Consultant en risques informatiques;Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques;34580;NON;NON;NON;OUI;3;3;3;4;5
21/01/2020 14:03;Homme;1,78875E+15;2019;Initiale;MI;Activite;Privé;CDI;En France;Occitanie;;5;;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Recherche-développement scientifique;30000;NON;NON;NON;OUI;;;;;
