Date;Identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
14/03/2018 22:44;1877069833744240    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;2;Ponant Technologies;20_49;Informatique industrielle et technique ;Ingenieur developpement logiciels;Societes de conseil, bureaux d'etudes;31500;NON;NON;NON;NON;5;5;5;5;5
14/03/2018 19:18;1867772706661410    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;6;Apside Technologies;250_4999;Informatique industrielle et technique ;Ingenieur FPGA;Recherche-developpement scientifique;33000;NON;NON;NON;NON;4;5;3;4;2
09/03/2018 21:36;1783164948056770    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;2;;20_49;Informatique industrielle et technique ;Ingenieur Traitement d'images embarque ;Industrie automobile, aeronautique, navale, ferroviaire;36000;NON;NON;NON;NON;1;4;4;4;4
09/03/2018 11:54;1777070157836320    ;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 17:22;1885320205889630    ;Homme;2017;Initiale;MEA;Recherche;;;;;;;;;;;;;;;;;;;;;
08/03/2018 21:29;1782336119224670    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;4;Assystem;5000_;Informatique industrielle et technique ;Ingenieur Model Based Design;Activites juridiques, comptables, de gestion, d'architecture, d'ingenierie, de controle et d'analyses techniques;32000;NON;NON;NON;NON;4;5;2;3;3
08/03/2018 20:24;1802846092404660    ;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 18:54;1782455519326140    ;Femme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;7;IOTEROP;_10;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Developpement;Telecommunications;29000;NON;NON;NON;OUI;5;4;3;5;5
14/03/2018 18:09;1782850313432270    ;Femme;2017;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;5;Innovateam;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur d'etude et recherche;Autres activites specialisees, scientifiques et techniques;36000;NON;NON;NON;NON;1;5;2;3;3
09/03/2018 12:27;1783165082353270    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;7;Serma Ingenierie;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur FPGA;Industrie automobile, aeronautique, navale, ferroviaire;28200;NON;NON;NON;NON;4;4;3;4;4
09/03/2018 09:44;1776102214054560    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;6;BIT Group France;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);ingenieur en Electronique;Industrie pharmaceutique;34344;NON;NON;NON;NON;4;4;4;4;5
08/03/2018 17:30;1776102349584110    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
14/03/2018 19:15;1767833505039570    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 18:23;1789139230825060    ;Homme;2017;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;6;NanoXplore;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur recherche et developpement;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;38000;NON;NON;NON;OUI;5;5;4;4;5
08/03/2018 17:36;1789086561411020    ;Femme;2017;Apprentissage;SE;Activite;Prive;CDI;France;ile-de-France;;6;MBDA;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Specialiste conception moyens essais specifiques ;Autres secteurs ;41000;NON;OUI;NON;OUI;4;4;4;4;0
09/03/2018 09:11;1794681019749420    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
13/03/2018 10:17;1789078677755080    ;Homme;2017;Initiale;ENR;Recherche;Public;ile-de-France;;;;;;;;;;;;;;;;;;;
